,Tweet, No. Likes,Time,No. Retweets
0,@kareemwagdy @stcpay_ksa عملت اضافة أمول لشحن stc pay. وصار لي أربع أيام ولا انزلت بالتطبيق وانخصمت من حسابي,0,2022-03-01 10:12:58+00:00,0
1,@_SWTAR @stcpay_ksa عملت اضافة أمول لشحن stc pay. وصار لي أربع أيام ولا انزلت بالتطبيق وانخصمت من حسابي,0,2022-03-01 10:12:08+00:00,0
2,"@stcpay_ksa السلام عليكم 

عندي بطاقة stc pay وصلت امس وفعلتها عن طريق التطبيق بس اذا جيت احاسب فيها ترفض معي وجربتها عن طريق ابل باي واشتغلت معي 

مدري وش الحل مع العلم اني تواصلت معكم عن طريق التطبيق كذا مرة بس محد يرد علي https://t.co/DFG93jSfzd",0,2022-03-01 10:11:48+00:00,0
3,@JHF_88 @stcpay_ksa عملت اضافة أمول لشحن stc pay. وصار لي أربع أيام ولا انزلت بالتطبيق وانخصمت من حسابي,0,2022-03-01 10:11:47+00:00,0
4,@stcpay_ksa @W60836500 عملت اضافة أمول لشحن stc pay. وصاز لي أربع أيام ولا انزلت بالتطبيق وانخصمت من حسابي,0,2022-03-01 10:11:25+00:00,0
5,حولت من البنك الاهلي الى stcpay مبلغ ٨٤٠ ريال وانخصم المبلغ لاكن لم يتم اضافته الى stcpay وادق على رقمهم ياخذون مني وت الى ٥٠ دقيقه انتضار ولا يتم المساعده بعد الرد حسبي الله ونعم الوكيل #ظلم_stc_pay,0,2022-03-01 10:09:28+00:00,0
6,"@Mbyssen @stcpay_ksa @SAMAcares اتصلو على رقمهم 9200 11444 والله يعينكم تنتظرون نص ساعة لين يردون او تكلمو مع الموظف عن طريق الدردشة في نفس برنامجك stc pay بعدها يطلب منكم رقم الهويه ورقم الجوال والرقم المرجعي للحواله
الرقم المرجعي تلاقوه في ايصال التحويل وان شاء اللَّهُ يرجعون لكم فلوسكم",0,2022-03-01 10:08:47+00:00,0
7,"فيه 1,000﷼ جالسة بين stc pay وبنك الراجحي.
هي انخصمت من stc pay
بس ما وصلت لبنك الراجحي

والمشكلة جتني حوالة ثانية بنفس المبلغ وبديت أوسوس…
هي هي ولا مهب هي هي",0,2022-03-01 09:58:25+00:00,0
8,@stcpay_ksa اصبح الاتصال برقمك يتطلب الانتظار طويلا كانة احدى الادارات الحكومية وليس شركة، واصبحت الشكوى من stc pay للقطاع التجاري ، بذلك يصعب وصولكم لمصاف خدمة البنوك والمنافسة,0,2022-03-01 09:56:12+00:00,0
9,@CITC_withU السلام عليكم ، الله يعافيك انا اعمل كمندوب قي احد تطبيقات التوصيل ، حولت مبلغ من محفظتي الى حسابي في stc pay ولم يصلني مع ان تم خصمه ، ولي ما يقارب ٧ ايام ما وصلني .. تواصلت مع stc pay واخبروني بان المبلغ لم يصل ، وش الحل ؟,0,2022-03-01 09:50:48+00:00,0
10,@SAMAcares السلام عليكم ورحمة الله وبركاته اضفت فلوس في stc pay ١٠٠٠ الف ريال و انسحب الفلوس من الصرافة و لا انضافت و وليه ثلاثة ايام و لا انضافت اتمنى حل المشكلة لنه الدعم الفني مايرد على الاتصال وهنا الصوره حتى الرسائل مايردو وكل يوم اتصل بدون فائدة https://t.co/LzzrsUuPcu,0,2022-03-01 09:50:00+00:00,0
11,@stcpay_ksa السلام عليكم ارجو تواصلكم معي في تويتر لحل مشكلتي في stc pay,0,2022-03-01 09:41:57+00:00,0
12,@stcpay_ksa تم تحويل مبلغ من حسابي في stc pay الى حسابي في الراجحي ولم تصل الحوالة ولم ياتيني اتصال تاكيد الحوالة ولا فيه احد برد علي في الدعم الفني اجلس اتصل ربع ساعة واكثر محد يرد,0,2022-03-01 09:29:24+00:00,0
13,@stcpay_ksa السلام عليكم حولت الرواتب عن طرق مدد وبواسطة   stc pay والى الان لم تصل !!,0,2022-03-01 09:29:24+00:00,0
14,"@stcpay_ksa السلام عليكم
عندي حساب stc pay التاجر و حاولت اضيفه في البنك العربي ولم يقبل مع ان الحساب نفس البنك؟ كيف اقدر اعرف رقم الحساب بدون الايبان ؟",0,2022-03-01 09:23:41+00:00,0
15,للاسف عندي شكوى من ٢٢ فبراير ولايوجد رد  #ظلم_stc_pay,0,2022-03-01 09:23:05+00:00,1
16,@SAMA_GOV تم رفع شكوى الى stc pay والى الان لم يصل شي,0,2022-03-01 09:21:31+00:00,0
17,"@stcpay_ksa يا جماعة الخير أنا حولت مبلغ ٢١٢ ريال ع  stc pay 
من يوم ١٤ فبراير وحتى الآن لم تصل إلى محفظتي ف stc pay 
مع انها خصمت مني
ما الحل .ولا الفلوس ضاعت علينا",0,2022-03-01 09:20:38+00:00,0
18,بطاقتي مجمدة ابغى حل تكفون #ظلم_stc_pay,0,2022-03-01 09:18:22+00:00,0
19,@stcpay_ksa السلام حولت فلوس من stc pay للراجحي وماوصلت للحين !! وتواصلت مع المحادثه بالتطبيق محد يرد ودقيت ماتدردون؟,0,2022-03-01 09:15:38+00:00,0
20,"كوينز فيفا 22 
.
100 الف بـ30 ريال
200 الف بـ60 ريال
300 الف بـ90 ريال 
400 الف بـ120 ريال 
500 الف بـ150 ريال

:
.
البنوك المتوفرة /  . الراجحي . و stc pay
متوفر مقابل شحن سوا
#فيفا22 #فيفا_22",0,2022-03-01 09:05:28+00:00,0
21,@stcpay_ksa #stc_pay_وين_فلوسنا_راحت   من السبت ونتم تقولون تعال خاص ولاحد يرد,0,2022-03-01 09:02:37+00:00,0
22,كىىمكم يا stc pay  ياشـرراميط رجعو فلوسي ترى الكل يدري بفضيحتكم انه تم اختراقكم لانكم نظام هش قذر .,0,2022-03-01 09:02:10+00:00,0
23,@stcpay_ksa السلام عليكم،،  قبل امس حاولت ضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟ له يومين ماوصلني المبلغ غير كذا ماتردونن لابالخاص ولا العام ولا الدعم يتواصل معانا🛑🛑!!,0,2022-03-01 09:01:09+00:00,0
24,@stcpay_ksa السلام عليكم،،  قبل امس حاولت ضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟ له يومين ماوصلني المبلغ غير كذا ماتردونن لابالخاص ولا العام ولا الدعم يتواصل معانا🛑🛑🛑🛑🛑!!!,0,2022-03-01 09:00:47+00:00,0
25,@stcpay_ksa السلام عليكم،،  قبل امس حاولت ضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟ له يومين ماوصلني المبلغ غير كذا ماتردونن لابالخاص ولا العام ولا الدعم يتواصل معانا🛑🛑🛑🛑🛑!!!,0,2022-03-01 09:00:37+00:00,0
26,@stcpay_ksa @avvex23 السلام عليكم،،  قبل امس حاولت ضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟ له يومين ماوصلني المبلغ غير كذا ماتردونن لابالخاص ولا العام ولا الدعم يتواصل معانا🛑🛑🛑🛑🛑!!!,0,2022-03-01 09:00:18+00:00,0
27,"@anb_care السلام عليكم
ارغب بالتحويل لحساب stc pay ولما احاول اضيف رقم الحساب لدي في العربي يظهر بانه غير صحيح؟ كيف طريقة الاضافة ؟",0,2022-03-01 08:55:04+00:00,0
28,@stcpay_ksa السلام عليكم تم عمل عملية اضافة في حسابي stc pay بمبلغ ٢٢٠١.٨٥ عن طريق ابل باي ولم يتم اضافتها من قبلكم في المحفظه حتى الان ارجووووو الرد والمساعده لحاجتي الماسه للمبلغ علماً بانه تواصلت معكم على الخاص ولم يتم الرد نهائياً,0,2022-03-01 08:54:32+00:00,0
29,"@stcpay_ksa 

السلام عليكم
قبل يومين حولت مبلغ الى STC Pay والى الان لم يصل التحويل وتواصلت على الرقم 8001180008 وكان الرد انه خلال الساعات القادمه سيتم اضافة المبلغ ..
ارجو الافاده",0,2022-03-01 08:49:38+00:00,0
30,"للأسف انا رفعت شكوتين في كل الجهيتن وغدًا راح يوقفون الاتصال والانترنت والمشكله منهم على العموم انا رفعت شكوى في 
Stc pay: 220062259
ورفعت شكوتين في اس تي سي 
١- 1-1327214975617 الهاتف 
٢-1-1327207975441 الجوال
وانا بالانتظار
@CITC_SA @stccare_ksa @stcpay_ksa",0,2022-03-01 08:49:12+00:00,0
31,@stcpay_ksa السلام عليكم،،  قبل امس حاولت اضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟له يومين ماوصلني 🛑🛑🛑,0,2022-03-01 08:49:11+00:00,0
32,@stcpay_ksa السلام عليكم،،  قبل امس حاولت اضيف لرصيد STC pay ولا تتم الاضافة ويتم خصم المبلغ من الحساب البنكي الراجحيي ؟؟؟؟ كيف وين المبلغغ ؟؟؟له يومين ماوصلني 🛑🛑🛑🛑,0,2022-03-01 08:49:04+00:00,0
33,@stcpay_ksa من فضلك ارسلت حواله من stc pay لحسابي الشخصي في بنك البلاد من امس وماوصلتني بالرغم من انه الحواله اللي بعدها وصلتني,0,2022-03-01 08:48:30+00:00,0
34,@stcpay_ksa السلام عليكم انا لي ٣ ايام اتصل على نفس الرقم حق الدعم الفني ولم تتم الاجابة على المكالمة والمشكلة اني اضفت مبلغ من البنك الى stc pay  وتم السحب المبلغ من البنك ولم تصل الفلوس داخل حساب,0,2022-03-01 08:31:22+00:00,0
35,"@Mudad_Care مفترض اليوم تتحول الرواتب والى الان ماوصلت للموظفين ، المبلغ انخصم من STC pay وفي مدد ادارة الرواتب العملية مقبولة لكن الحالة معلق !

نتواصل مع مين ؟ الان مين راح يحل المشكلة 

رقم المنشأة : 
1-1916625 
رقم موحد في مدد : 
156710-1",0,2022-03-01 08:14:06+00:00,0
36,@stcpay_ksa السلام عليكم انا اضفت فلوس وانسحبت من حسابي البنكي وما وصلتني في stc pay,0,2022-03-01 08:12:55+00:00,0
37,"@stcpay_ksa
أنا بسألكم يا STC PAY إنتو بنك ولا جمعية خالاتي ..؟؟

معقول فلوسي إللي استرجعتها من الموقع توصلني ليلة العيد ..؟؟؟

معقول دا الكلام ..!!!!!!!!!!!!! https://t.co/isE4bsenAe",0,2022-03-01 08:08:02+00:00,0
38,تحديث : تواصلت مع STC PAY وقالوا لي ان المبلغ راح يرجعلي بعد ساعات ننتظر ونشوف !!! #ظلم_stc_pay,0,2022-03-01 08:01:05+00:00,0
39,"@Hamad7k9 @stcpay_ksa السلام عليكم @
تم تحويل مبلغ من حسابي في stc pay الى حسابي ف الراجحي ، والى الان لم يتم تحويلها",0,2022-03-01 07:51:41+00:00,0
40,"@stcpay_ksa 

السلام عليكم @
تم تحويل مبلغ من حسابي في stc pay الى حسابي ف الراجحي ، والى الان لم يتم تحويلها",0,2022-03-01 07:51:00+00:00,0
41,"@stcpay_ksa لم يتم حل موضوعي الى الان 

!مرحبا تم انشاء تذكرة رقم #220061695 وسنعمل على حلها باسرع وقت ممكن لتتبع حالة تذكرتك يرجى التواصل معنا على 920011444 نقدر لك انتظارك

الى الان لم يودع المبلغ في محفظه stc pay ؟؟؟",0,2022-03-01 07:47:28+00:00,0
42,"@stcpay_ksa لم يتم حل موضوعي الى الان 

!مرحبا تم انشاء تذكرة رقم #220061695 وسنعمل على حلها باسرع وقت ممكن لتتبع حالة تذكرتك يرجى التواصل معنا على 920011444 نقدر لك انتظارك

الى الان لم يودع المبلغ في محفظه stc pay ؟؟؟",0,2022-03-01 07:46:20+00:00,0
43,@369gala أهلا بك، بإمكانك اصدار حلول دفع رقمية نرجو التواصل مع الشركات المقدمة لحلول الدفع الرقمية ومن ضمنها جيديا و وتاب و stc pay، يرجى زيارة الموقع لمزيد من المعلومات  ، شكرًا لتواصلك.,0,2022-03-01 07:43:44+00:00,0
44,"@stcpay_ksa للأسف الخدمة سيئة جدا جدا ورفعت كذا مرة بلاغ عن طريق الرقم الموحد
ولا لمن تنادي!!
Payment failed ما قادر أضيف اي بطاقه
ونفس البطاقه جربتها في تطبيق stc pay بتاع صديقي واضيفت وعندي كل البطاقات رفضت تضاف",0,2022-03-01 07:42:58+00:00,0
45,"#ظلم_stc_pay 

انا نفس الوضع اللي عانيتم منه يومين على ذا الحال عمليه انضافت و عمليه لا 
الزبده انصحكم بتطبيق ur pay تبع الراجحي فنان 😉💙 @urpay_sa",0,2022-03-01 07:37:55+00:00,0
46,@DeadlySkils وصلت حوالتك حقت stc pay لراجحي ولا لسى؟؟,0,2022-03-01 07:36:56+00:00,0
47,@stccare_ksa @Stc_pay يومياً يتم التواصل دون جدوى,0,2022-03-01 07:22:38+00:00,0
48,"@waleedabuayoon حياك الله د . وليد 
نرجوا التواصل مع الزملاء في @stc_pay على الرقم 8001180008 وراح تتم خدمتك على اكمل وجه 
شكراً لتواصلك معنا",0,2022-03-01 07:22:14+00:00,0
49,@stcpay_ksa حولت حواله من stc pay الى بنك اخر و الى الان لم تصل حاولت ادق عليكم ماحد رد لي ١٠ ساعات ادق ماحد يرد,0,2022-03-01 07:14:45+00:00,0
50,@gkm77881 انت الخير ملوكي ، شف حولتلك 5000 ب stc pay,0,2022-03-01 07:14:23+00:00,0
51,"@M__s__1989 @SMGBSH عندنا 
stc pay and ur pay
وتوكلنا اعلن قبل فتره انه يختبر منصة دفع",0,2022-03-01 07:12:28+00:00,0
52,"@stcpay_ksa السلام عليكم ورحمة الله وبركاته
عندي مشكلة مع نظام المدفوعات حيث تم حسم عمليات شراء غير مصرح عبر بطاقة STC Pay الفيزا الكلاسيكة
تم إغلاق البطاقة.. حاولت التواصل مع الرقم الموحد مرات عديدة دون إجابة من الخدمة العملاء.. احتاج الى استرجاع المبالغ المخصومة",0,2022-03-01 07:12:00+00:00,0
53,@R569666311 @stcpay_ksa انا رد علي واحد يقول بعد ٣ ايام كلمينا ! كل بنوك العالم اون لاين ما تأخذ ثواني و الا دقايق الا STC Pay  ٣ ايام سبحان الله عشان حواله !,0,2022-03-01 07:09:02+00:00,0
54,@stcpay_ksa السلام عليكم سويت حواله محليه من stc pay لحسابي في الراجحي انخصم من حسابي في اس تي سي وماجاني مسج خصم ولا تحول لحسابي ابيها اليوم ضروري,0,2022-03-01 07:06:45+00:00,0
55,@AlinmaBankSA صباح الخير حولت من stc pay لصرافتي الانماء الى الان ماوصلت وش المشكلة ؟,0,2022-03-01 07:00:13+00:00,0
56,انخصم مني ٩٠٠ ريال ومو موجوده في رصيدي  #ظلم_stc_pay,0,2022-03-01 06:58:51+00:00,0
