,Tweet, No. Likes,Time,No. Retweets
0,"تم تحويل مبلغ الى محفظتي في stc pay ولم يظهر المبلغ وتم التواصل مع الرقم الموحد وقال تأكد من البنك @alrajhibank وأفادوني أن المبلغ خرج من حسابي بطريقة صحيح فالخلل من عندكم @stcpay_ksa الثاني والى الان لم يتم افادتي باجابة واضحة !!!!!
كل جهة تحولني على الأخرى نتمنى نجد حل عااااجل",0,2022-02-24 08:57:24+00:00,0
1,"@SAMA_GOV السلام عليكم ورحمة الله وبركاته
لي اكثر من ١٠ أيام مسوي حواله دوليه من stc pay وانخصمت من حسابي وما ترسلت للمستلم وكل ما اكلمهم يقولو رفعنالك طلب ونحلها قريب، وللحين لا رجعو المبلغ ولا حولوه
إيش الإجراء ل اتخذوا معاهم دحين عشان أرجع حقي",0,2022-02-24 08:48:06+00:00,0
2,@AppMrsool الرجاء من مرسول انهم يستعجلون بصيانة STC pay وحل مشكلتها الحل طول وهو اسهل ممى يتوقع ، بعدين معقوله شركة وبرنامج كبير يخلي الناس تنتظر من تاريخ ٢٠٢٢/٢/٠٤ الى اليوم هاذا ونتم تقولون نعتذر منك وبنحول فلوسك ماصارت والله التحويل منكم صار مذله يهونون المناديب وخرتها يطولون,0,2022-02-24 08:43:57+00:00,0
3,@AlRajhiTakaful الدفع عن طريق stc pay  كيف اجيب لكم ايصال العمليه ؟,0,2022-02-24 08:28:11+00:00,0
4,stc pay خدماتهم سيئة لابعد درجة🙂 مو معقولة يومين اتصل على خدمة العملاء محد يرد عليا!! @stcpay_ksa,2,2022-02-24 08:25:38+00:00,0
5,@stcpay_ksa انا حولت فلوس من stc pay الى حسابي البنكي الشخصي ولكن الى الان ما وصلت وتم حسم المبلغ من stc pay وش المشكلة,0,2022-02-24 08:19:49+00:00,0
6,@stcpay_ksa انا حولت فلوس من stc pay الى حسابي البنكي الشخصي ولكن الى الان ما وصلت وتم حسم المبلغ من stc pay وش المشكلة,0,2022-02-24 08:19:33+00:00,0
7,@stcpay_ksa السلام عليكم طلبت بطاقة مدى من stc pay صار ليها اسبوعين ولا وصلت,0,2022-02-24 07:46:16+00:00,0
8,@stcpay_ksa   السلام عليكم ، حولت مبلغ بتاريخ ٤ فبراير من ال STC pay على حسابي في بنك الجزيره وللحين ما وصل المبلغ وحاولت الاتصال ما احد يرد ومو قادره اعرف كيف اتواصل معكم,0,2022-02-24 07:41:21+00:00,0
9,RT @olilo69: @Eyaaaad ليش ماتتكلم عن stc pay متعطله من يومين واغلبنا متضررين !,0,2022-02-24 07:35:10+00:00,1
10,"اوكي STC Pay جابوا ام العيد
بس اللي يصيحون انهم حاطين كل فلوسهم فيها يا يبالغون يا اغبياء",1,2022-02-24 07:18:23+00:00,0
11,@mrmandoobapp لي ٦ ايام انتظر فلوسي توصلني ولاجاني ولاريال واتواصل مع المشرفين يصرفوني كأنهم بيدفعو من جيبهم وكانت المشكله ف تحويل حسابات stc pay وانا كان حسابي الاهلي م عندي مشاكل وقد وصلني فلوس الطلبات اللي قبل افيدونييييي,0,2022-02-24 07:17:20+00:00,0
12,تم خصم من المحفظه و لم ياتي الي stc pay @MnadebHu https://t.co/HJxc7QMCfe,0,2022-02-24 07:01:12+00:00,0
13,المبلغ صار له اكثر من اسبوع معلق وتواصلت مع stc pay على رقمهم وتواصلت معهم عن طريق البرنامج ولا يوجد اي رد وارسلت ايميل لشركة قبل ٤ ايام ولا فيه اي رد!!!! هل تتوقعون يا @stcpay_ksa ان هذا التعامل يرضى العميل؟ فلوسي صار لها اكثر من ٨ ايام معلقه بسبب مشكلة تقنية لديكم!#stcpay https://t.co/Zje9NdyvdQ,0,2022-02-24 06:40:40+00:00,0
14,@fawaz_dr أو هدية عن طريقstc payجميلة الحركة حتى مكافئة للأطفال حفظة  قرآن والمصلين،ويقدرون من صرافات يسحبونها بالبار كود أويحاسبون في المحلات،هذا التطبيق ،رووعه حتى في تحويل رواتب المكفولين،في دقايق يوصل أهلهم،ورسوم قليلة جدا،وبدون ما أوقف سرا في البنك الحقيقي لمدة ساعة  بين عمالة. https://t.co/pE8US07Xa2,0,2022-02-24 06:30:58+00:00,0
15,"متوفر كوينز فيفا 22 
.
100 الف بـ30 ريال
200 الف بـ60 ريال
300 الف بـ90 ريال 
400 الف بـ120 ريال 
500 الف بـ150 ريال

:
.
البنوك المتوفرة /  . الراجحي . و stc pay
متوفر مقابل شحن سوا
#فيفا22 #فيفا_22",0,2022-02-24 06:24:03+00:00,0
16,@JeenyDriverKSA لو سمحتو عندي رصيد في تطبيق جيني كيف احوله على stc pay ؟,0,2022-02-24 06:03:57+00:00,0
17,"@stcpay_ksa @h_ofiy @AF_DE1 بلاغ إلى المسؤولين الموقرين ب ساما والبنك المركزي السعودي ضد stc pay
حيث انه تم عمل حواله محلية منذ ٤ ايام والى الان لم تصل ومحاولة الاتصال بخدمة العملاء الخاصة بهم عدة مرات كل مره ٤٠ دقيقة بدون فائدة
@SAMA_GOV
@SAMAcares",0,2022-02-24 06:00:13+00:00,0
18,@stcpay_ksa حولت من حسابي الى stc pay من تاريخ2022/2/15 وللحين ماوصلت ولاتردون على الاتصالات وش الحل معكم,0,2022-02-24 05:56:08+00:00,0
