,Tweet, No. Likes,Time,No. Retweets
0,"@stcpay_ksa @Ayman_Got ممكن تردون خاص ؟؟ 
فلوسي خصمت من بطاقتي الائتماني ودخل ربع المبلغ في اس تي سي باي
وين راحت فلوسي الباقيه؟؟
بالخاص زودتكم بكل شي وبالصور",0,2022-02-24 08:42:12+00:00,0
1,@messaalive1 عندك اس تي سي باي,0,2022-02-24 08:37:41+00:00,0
2,"@zaz__k الراجحي
 الأهلي
 إس تي سي باي",0,2022-02-24 06:29:50+00:00,0
3,"@AppMrsool @AppMrsool

#مرسول
ثلاثه ايام متتاليه ولم يتم تحويل المبلغ المدفوع قيمة مشتريات مدفوعه من العميل
قلتم مشكله في اس تي سي باي قلنا طيب نغير الحساب البنكي غيرنا الحساب البنكي ما بقى لكم عذر #وين_الفلوس_يامرسول",0,2022-02-24 05:49:05+00:00,0
4,"@ShawarmerSA @AppMrsool @AppMrsool

#مرسول
ثلاثه ايام متتاليه ولم يتم تحويل المبلغ المدفوع قيمة مشتريات مدفوعه من العميل
قلتم مشكله في اس تي سي باي قلنا طيب نغير الحساب البنكي غيرنا الحساب البنكي ما بقى لكم عذر #وين_الفلوس_يامرسول",0,2022-02-24 05:46:47+00:00,0
5,"@AppMrsool

#مرسول
ثلاثه ايام متتاليه ولم يتم تحويل المبلغ المدفوع قيمة مشتريات مدفوعه من العميل
قلتم مشكله في اس تي سي باي قلنا طيب نغير الحساب البنكي غيرنا الحساب البنكي ما بقى لكم عذر #وين_الفلوس_يامرسول",0,2022-02-24 04:12:28+00:00,0
6,@stcpay_ksa السلام عليكم ورحمة الله ،،سويت تغذية للمحفظه من يوم الاثنين والفلوس انخصمت من حسابي في البنك لكنها لم تصل اس تي سي باي ايش الحل؟,0,2022-02-24 03:46:14+00:00,0
7,@lutf1414 طيب و اس تي سي باي كيف ادخل فيها الصالات؟,0,2022-02-23 23:02:59+00:00,0
8,RT @sakoony1400: @Nasrawi8 @senani87 انا مثلك ما كنت اعرف شي به لين طلبت من شركة سوار مواد غذائية و يوم جاني سواق الثلاجة طلع مامعه شبكة وا…,0,2022-02-23 22:04:32+00:00,1
9,@Nasrawi8 @senani87 انا مثلك ما كنت اعرف شي به لين طلبت من شركة سوار مواد غذائية و يوم جاني سواق الثلاجة طلع مامعه شبكة وانا ما معي كاش قال عند اس تي سي باي قلت لا علمني عنه ونزلته و فعلته و شحنته وحاسبته بدقايق ومن يومها وللان و انا مفعله 👍🏻,2,2022-02-23 22:02:08+00:00,1
10,RT @Nasserr_su: @sakoony1400 ترى في نقطة ثانيه بطاقة اس تي سي باي ويور باي كلها فيزا فقط وكثير اماكن شراء اذا حط حط لك مدى والي على الشارع…,0,2022-02-23 20:50:27+00:00,1
11,@sakoony1400 ترى في نقطة ثانيه بطاقة اس تي سي باي ويور باي كلها فيزا فقط وكثير اماكن شراء اذا حط حط لك مدى والي على الشارع ماله من ذا الاجهزه لانها تاخذ نسبة منه و ضريبة مسجلة بيكون لازم سجل تجاري فمستحيل يجيب الا اذا توسع وكان مثل الفود ترك,2,2022-02-23 20:49:37+00:00,1
12,@DNS_Sys @CydiaiOS15 نبي حل ل اس تي سي باي ع اصدار 14.8,0,2022-02-23 20:48:20+00:00,0
13,"RT @f967w: @stcpay_ksa بلاش تصريف ومحتدثه كتابيه ومدري ايش.. رجاءا انا لب حق عندكم واطالبكم بحقي

يرجى الاتصال بي على الرقم اللي بالخاص وبل…",0,2022-02-23 17:11:35+00:00,1
14,@stcpay_ksa مرحبا حولت من حسابي البنكي مبلغ 10 الف وتم الخصم ووصل الى حسابي اس تي سي باي ناقص 150 ريال تقريبا؟,0,2022-02-23 15:59:03+00:00,0
15,"@stcpay_ksa بلاش تصريف ومحتدثه كتابيه ومدري ايش.. رجاءا انا لب حق عندكم واطالبكم بحقي

يرجى الاتصال بي على الرقم اللي بالخاص وبلاش تطنيش اريد فلوسي

وانتو يا متابعين الصفحه حكم بيني وبين اس تي سي باي",2,2022-02-23 15:46:08+00:00,1
16,حركة تقسيم الفاتوره الجديده بالراجحي حلوه بدل اس تي سي باي اللي ماقد اشتغل,0,2022-02-23 15:28:15+00:00,0
17,@stcpay_ksa ياخي انا حولت من باي اس تي سي الى بنك محلي و البنك مو متعون معاكم كم تستغرق الحوالة,0,2022-02-23 13:35:35+00:00,0
