,Tweet, No. Likes,Time,No. Retweets
0,كنصيحه يعني لا احد فيكم يستخدم تطبيق @stcpay_ksa اكبر غلط راح تسونه لانو بيسحبون فلوسكم وبعدها بيسحبون عليكم لا اتصال بيردون ولا خاص بيردون ولا خدمة عملاء بالتطبيق بيردون ويجونك هنا بالعام يكتبون لك تم الرد خاص وردهم وش ؟ كلمو خدمة العملاء الي بالتطبيق ويسنحب عليك هنا وبالتطبيق🤦🏻‍♀️,0,2022-03-01 00:14:31+00:00,0
1,@SAMA_GOV شوفو لكم حل مع خدمة عملاء @stcpay_ksa ما يردون علينا لا هاتف ولا تطبيق,0,2022-02-27 15:19:45+00:00,0
2,"@SAMAcares @stcpay_ksa 

تم تغذية المحفظة بمبلغ وتم خصمه مباشرة من البنك ولم يظهر في تطبيق اس تي سي باي علمًا انني اتصلت في البنك وافادوا بأن المبلغ تم  خصمه وتم التواصل مع خدمة العملاء عملاء اس تي سي باي وبدون فائده 
نأمل الرد العاجل وشكرًا",0,2022-02-27 15:00:59+00:00,0
3,"@stcpay_ksa السلام عليكم 
انا شحنت باقة من جوي عن طريق التطبيق وتم اختيار الدفع عن طريق Stc pay وتم خصم المبلغ مرتين لصالح تطبيق جوي ولكن تم التأكيد من قبل خدمة عملاء جوي انا المبلغ لم يصل وأنه يجب التواصل مع خدمة عملاء Stc pay وحاولت التواصل معكم مرارا وتكرارا ولم يتم الرد",0,2022-02-26 18:06:08+00:00,0
4,@stcpay_ksa @_Arab_Gulf_ ممكن تردو على الخاص خدمة العملاء في تطبيق اس تي سي ماساعدوني في حل المشكله,0,2022-02-26 09:16:40+00:00,0
5,@SAMAcares السلام عليكم ورحمة الله وبركاته اقدم شكواي لكم وارجو من الله ثم منكم اتخاذ الاجراء اللازم واعطائي حقي المالي ،،  انا حوت مبلغ 230 ريال عن طريق تطبيق @stcpay_ksa لمفعل الخدمة @jawwy لتفعيل خدمة (كومبو 97 جيجا ) وصار لي 8 ايام لم تفعل ولا لقيت تجاوب منهم ابي حقي منهم شكراً لكم https://t.co/3qlHzwLpOG,0,2022-02-26 09:14:22+00:00,0
6,@stcpay_ksa @h_ofiy @AF_DE1 اسوأ تطبيق يمكن تشوفه بحياتك لاتعامل ولا رد ولا خدمة وتروح فلوسك ولاعليهم منك,0,2022-02-26 07:24:38+00:00,0
7,@stcpay_ksa اقسم بالله انكم ازبل تطبيق و ازبل خدمة عملاء ما منكم فايده وجودكم و عدمه واحد يا فاشلين,0,2022-02-24 10:38:53+00:00,0
8,"#Stcpay 

أسوأ بنك او تطبيق ممكن تتعامل معه
لا انصح بالتعامل معه لسوء خدمة العملاء وكثرة الاعطال والتأخر الشديد في حل المشاكل 
✋🏼",2,2022-02-24 07:32:51+00:00,1
9,"@stcpay_ksa 
والله افشل تطبيق وافشل خدمه عملاء",1,2022-02-24 07:27:14+00:00,0
